goos: darwin
goarch: arm64
pkg: github.com/ethereum/go-ethereum/core/vm
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_57-Gas=500-12               	  349186	      3417 ns/op	       500.0 gas/op	       146.3 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_58-Gas=500-12               	  349858	      3408 ns/op	       500.0 gas/op	       146.7 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_59-Gas=500-12               	  355395	      3365 ns/op	       500.0 gas/op	       148.6 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_60-Gas=500-12               	  353632	      3378 ns/op	       500.0 gas/op	       148.0 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_61-Gas=500-12               	  352305	      3393 ns/op	       500.0 gas/op	       147.3 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_62-Gas=500-12               	  350839	      3405 ns/op	       500.0 gas/op	       146.8 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_63-Gas=500-12               	  347936	      3442 ns/op	       500.0 gas/op	       145.2 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_64-Gas=500-12               	  350803	      3409 ns/op	       500.0 gas/op	       146.7 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_65-Gas=500-12               	  338720	      3515 ns/op	       500.0 gas/op	       142.2 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_66-Gas=500-12               	  347259	      3433 ns/op	       500.0 gas/op	       145.7 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_67-Gas=500-12               	  352118	      3415 ns/op	       500.0 gas/op	       146.4 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_68-Gas=500-12               	  353408	      3362 ns/op	       500.0 gas/op	       148.7 mgas/s	     320 B/op	       3 allocs/op
